SourceIP,DestinationIP,SourcePort,DestinationPort,Flow'sProtocol,Number of Bytes Sent per Flow,Number of Bytes received per Flow
192.168.43.254,185.60.216.53,12875,443,TCP,1254,1258
192.168.43.254,108.177.119.189,59346,443,UDP,1147,630
108.177.119.189,192.168.43.254,443,59346,UDP,41,35
185.60.216.53,192.168.43.254,443,12875,TCP,42,112
192.168.43.254,185.60.216.53,12875,443,TCP,43,33
192.168.43.254,108.177.119.189,59346,443,UDP,41,33
108.177.119.189,192.168.43.254,443,59346,UDP,32,1254
192.168.43.254,108.177.119.189,59346,443,UDP,32,632
108.177.119.189,192.168.43.254,443,59346,UDP,115,20
185.60.216.53,192.168.43.254,443,12875,TCP,20,33
185.60.216.53,192.168.43.254,443,12875,TCP,55,32
192.168.43.254,185.60.216.53,12875,443,TCP,55,32
192.168.43.254,108.177.119.189,59346,443,UDP,32,20
185.60.216.53,192.168.43.254,443,12875,TCP,32,509
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
108.177.119.189,192.168.43.254,443,59346,UDP,1420,509
192.168.43.254,108.177.119.189,59346,443,UDP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1420,71
185.60.216.53,192.168.43.254,443,12875,TCP,1420,107
192.168.43.254,185.60.216.53,12875,443,TCP,278,1408
108.177.119.189,192.168.43.254,443,59346,UDP,20,491
192.168.43.254,108.177.119.189,59346,443,UDP,20,58
108.177.119.189,192.168.43.254,443,59346,UDP,20,52
185.60.216.53,192.168.43.254,443,12875,TCP,426,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
185.60.216.53,192.168.43.254,443,12875,TCP,49,20
185.60.216.53,192.168.43.254,443,12875,TCP,32,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,178
192.168.43.254,108.177.119.189,59346,443,UDP,1420,107
108.177.119.189,192.168.43.254,443,59346,UDP,1420,515
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
192.168.43.254,185.60.216.53,12875,443,TCP,1074,58
185.60.216.53,192.168.43.254,443,12875,TCP,20,20
185.60.216.53,192.168.43.254,443,12875,TCP,20,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,58
185.60.216.53,192.168.43.254,443,12875,TCP,20,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
192.168.43.254,108.177.119.189,59346,443,UDP,32,294
108.177.119.189,192.168.43.254,443,59346,UDP,20,616
185.60.216.53,192.168.43.254,443,12875,TCP,372,149
185.60.216.53,192.168.43.254,443,12875,TCP,481,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,33
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
192.168.43.254,185.60.216.53,12875,443,TCP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1420,20
185.60.216.53,192.168.43.254,443,12875,TCP,1074,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
185.60.216.53,192.168.43.254,443,12875,TCP,363,20
192.168.43.254,185.60.216.53,12875,443,TCP,20,20
192.168.43.254,108.177.119.189,59346,443,UDP,52,20
185.60.216.53,192.168.43.254,443,12875,TCP,20,62
192.168.43.254,185.60.216.53,12875,443,TCP,1258,20
108.177.119.189,192.168.43.254,443,59346,UDP,87,20
185.60.216.53,192.168.43.254,443,12875,TCP,87,20
185.60.216.53,192.168.43.254,443,12875,TCP,41,20
192.168.43.254,185.60.216.53,12875,443,TCP,844,20
192.168.43.254,65.55.44.109,13113,443,TCP,42,20
138.199.14.82,192.168.43.254,80,12858,TCP,43,20
192.168.43.254,138.199.14.82,12858,80,TCP,41,20
65.55.44.109,192.168.43.254,443,13113,TCP,20,20
192.168.43.254,65.55.44.109,13113,443,TCP,32,20
192.168.43.254,65.55.44.109,13113,443,TCP,20,20
65.55.44.109,192.168.43.254,443,13113,TCP,32,20
65.55.44.109,192.168.43.254,443,13113,TCP,20,20
65.55.44.109,192.168.43.254,443,13113,TCP,170,20
192.168.43.254,65.55.44.109,13113,443,TCP,20,20
65.55.44.109,192.168.43.254,443,13113,TCP,20,20
192.168.43.254,65.55.44.109,13113,443,TCP,20,20
65.55.44.109,192.168.43.254,443,13113,TCP,20,20
65.55.44.109,192.168.43.254,443,13113,TCP,20,20
192.168.43.254,65.55.44.109,13113,443,TCP,1420,20
192.168.43.254,65.55.44.109,13113,443,TCP,1420,20
65.55.44.109,192.168.43.254,443,13113,TCP,1420,20
65.55.44.109,192.168.43.254,443,13113,TCP,1420,33
65.55.44.109,192.168.43.254,443,13113,TCP,1420,20
65.55.44.109,192.168.43.254,443,13113,TCP,56,20
192.168.43.254,65.55.44.109,13113,443,TCP,41,20
192.168.43.254,65.55.44.109,13113,443,TCP,20,20
192.168.43.254,65.55.44.109,13113,443,TCP,20,20
65.55.44.109,192.168.43.254,443,13113,TCP,20,20
192.168.43.254,108.177.119.189,59346,443,UDP,89,1420
65.55.44.109,192.168.43.254,443,13113,TCP,347,857
108.177.119.189,192.168.43.254,443,59346,UDP,415,33
192.168.43.254,192.168.43.1,51022,53,UDP,41,20
192.168.43.254,192.168.43.1,51022,53,UDP,20,20
192.168.43.1,192.168.43.254,53,51022,UDP,1372,33
192.168.43.254,142.250.181.131,60102,443,UDP,58,33
192.168.43.254,142.250.181.131,60102,443,UDP,20,32
192.168.43.254,142.250.181.131,60102,443,UDP,58,652
142.250.181.131,192.168.43.254,443,60102,UDP,20,93
142.250.181.131,192.168.43.254,443,60102,UDP,1420,58
142.250.181.131,192.168.43.254,443,60102,UDP,427,33
142.250.181.131,192.168.43.254,443,60102,UDP,1420,20
142.250.181.131,192.168.43.254,443,60102,UDP,412,20
192.168.43.254,142.250.181.131,60102,443,UDP,1420,257
192.168.43.254,142.250.181.131,60102,443,UDP,1420,20
192.168.43.254,142.250.181.131,60102,443,UDP,1420,20
142.250.181.131,192.168.43.254,443,60102,UDP,1420,20
142.250.181.131,192.168.43.254,443,60102,UDP,1420,178
192.168.43.254,142.250.181.131,60102,443,UDP,1420,107
192.168.43.254,192.168.43.1,61718,53,UDP,1420,1040
192.168.43.254,142.250.181.131,60102,443,UDP,1420,20
142.250.181.131,192.168.43.254,443,60102,UDP,1420,58
192.168.43.1,192.168.43.254,53,61718,UDP,1420,32
192.168.43.254,142.250.181.46,55700,443,UDP,1420,20
192.168.43.254,142.250.181.131,60102,443,UDP,1420,33
192.168.43.254,142.250.181.46,55700,443,UDP,1420,165
142.250.181.131,192.168.43.254,443,60102,UDP,1420,20
142.250.181.46,192.168.43.254,443,55700,UDP,820,251
142.250.181.46,192.168.43.254,443,55700,UDP,20,20
142.250.181.46,192.168.43.254,443,55700,UDP,41,20
192.168.43.254,142.250.181.46,55700,443,UDP,1420,178
192.168.43.254,142.250.181.46,55700,443,UDP,1420,20
192.168.43.254,142.250.181.46,55700,443,UDP,1420,469
142.250.181.46,192.168.43.254,443,55700,UDP,1420,1420
142.250.181.46,192.168.43.254,443,55700,UDP,1420,1420
142.250.181.46,192.168.43.254,443,55700,UDP,1420,1420
192.168.43.254,142.250.181.46,55700,443,UDP,1420,1420
192.168.43.254,142.250.181.46,55700,443,UDP,1420,1014
142.250.181.46,192.168.43.254,443,55700,UDP,1420,20
142.250.181.46,192.168.43.254,443,55700,UDP,1420,20
192.168.43.254,142.250.181.46,55700,443,UDP,1420,20
192.168.43.254,142.250.181.46,55700,443,UDP,1420,20
142.250.181.46,192.168.43.254,443,55700,UDP,1420,20
192.168.43.254,192.168.43.1,62915,53,UDP,1420,20
192.168.43.1,192.168.43.254,53,62915,UDP,1420,20
192.168.43.254,142.250.181.110,49368,443,UDP,1420,51
192.168.43.254,142.250.181.110,49368,443,UDP,1420,20
142.250.181.110,192.168.43.254,443,49368,UDP,1420,33
142.250.181.110,192.168.43.254,443,49368,UDP,1420,118
142.250.181.110,192.168.43.254,443,49368,UDP,1420,32
192.168.43.254,142.250.181.110,49368,443,UDP,1420,20
192.168.43.254,142.250.181.110,49368,443,UDP,1420,537
192.168.43.254,142.250.181.110,49368,443,UDP,1420,20
192.168.43.254,142.250.181.110,49368,443,UDP,1420,113
