SourceIP,DestinationIP,SourcePort,DestinationPort,Flow'sProtocol,Number of Bytes Sent per Flow,Number of Bytes received per Flow
65.55.44.109,192.168.43.254,443,13122,TCP,42,20
65.55.44.109,192.168.43.254,443,13122,TCP,43,84
192.168.43.254,65.55.44.109,13122,443,TCP,41,33
65.55.44.109,192.168.43.254,443,13122,TCP,1000,20
192.168.43.254,65.55.44.109,13122,443,TCP,41,51
65.55.44.109,192.168.43.254,443,13122,TCP,43,20
192.168.43.254,13.107.22.200,13118,443,TCP,41,59
192.168.43.254,13.107.22.200,13118,443,TCP,1254,33
192.168.43.254,13.107.22.200,13118,443,TCP,1258,35
192.168.43.254,13.107.22.200,13118,443,TCP,1258,33
192.168.43.254,13.107.22.200,13118,443,TCP,292,33
192.168.43.254,13.107.22.200,13118,443,TCP,41,528
192.168.43.254,13.107.22.200,13118,443,TCP,43,252
192.168.43.254,13.107.22.200,13118,443,TCP,41,478
192.168.43.254,13.107.22.200,13118,443,TCP,20,220
192.168.43.254,13.107.22.200,13118,443,TCP,101,33
